smiles,value
[*]C=C([*])c1ccc(NC=O)cc1,0.071
[*]CCCCCC[N+]([*])(C)C,0.0738
[*]C=C([*])c1ccccc1,0.0933
[*]CCCCCC[N+](C)(C)CCCCC[N+]([*])(C)C,0.1118
[*]C=C1C=C([*])C[N+](CCCCCCCC)(CCCCS(=O)(=O)O)C1,0.1701
[*]C=C([*])c1ccc(C#C)cc1,0.2213
[*]C=C([*])c1ccc(N)cc1,0.2334
[*]C=c1ccc(=c2ccc(=Cc3ccc([*])s3)s2)s1,0.6103
[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,0.7215
[*]c1cc2c(s1)-c1sc([*])cc1C2=C(C#N)C#N,0.7226
[*]/C=C\C=C[*],0.7763
[*]C=CC=CC=CC=C([*])CCS(=O)(=O)O,0.8154
[*]c1sc([*])c2nc(-c3ccccc3)c(CCCCCCC)nc12,0.8340000000000001
[*]C=c1ccc(=c2ccc(=Cc3ccc(-c4ccc([*])s4)s3)s2)s1,0.8779
[*]C#CC(=C([*])c1ccccc1)c1ccccc1,0.8844
[*]c1sc([*])c2nc(CCCCCC)c(CCCCCC)nc12,0.8923
[*]C=C([*])C#N,0.9111
[*]C=C([*])c1cccc(C#C)c1,0.9119
[*]c1ccc(-n2c(=O)c3ccc4c5cc6c([*])ccc6n5c(=O)c-4cc3c2=O)cc1C,0.9421
[*]=C=C=C(CCCCOC(=O)NC(C)C)C(=[*])CCCCOC(=O)NC(C)C,0.9608
[*]c1cc2c(s1)-c1sc(-c3sc(-c4sc([*])c5c4OCCO5)c4c3OCCO4)cc1C2=C(C#N)C#N,0.9689
[*]C=Cc1sc([*])c2c1OC(CCCCCC)CO2,0.9769
[*]NC(=S)NO[*],0.9802
[*]c1sc([*])c2nc(CCCCCCCCCCC)c(CCCCCCCCCCC)nc12,0.9973
[*]C#CC(CCCCOC(=O)NCCC)=C([*])CCCCOC(=O)NCCC,1.0016
[*]c1sc(-c2sc(-c3sc([*])c4nccnc34)c3c2OCCO3)c2c1OCCO2,1.021
[*]Oc1ccc(C(=Nc2ccc(N=C(c3ccccc3)c3ccc(On4c(=O)c5c(F)c6c(=O)n([*])c(=O)c6c(F)c5c4=O)cc3)cc2)c2ccccc2)cc1,1.0253
[*]NC(=S)C(C=C1)=CC=C1C(=S)[*],1.0789
[*]C(c1cccs1)=c1ccc(=c2ccc(=C(c3cccs3)c3ccc(-c4ccc([*])s4)s3)s2)s1,1.0912
[*]C=C([*])c1cccc(C#C)n1,1.0964
[*]C=C([*])c1cccc2ccccc12,1.1157
[*]c1sc(-c2cc(OCCCCC)c([*])s2)cc1OCCCCC,1.1386
[*]C=C([*])c1ccc([N+](=O)[O-])cc1,1.15
[*]c1cc2c(s1)-c1sc([*])cc1C2=O,1.1662
[*]C1=CC2=CC([*])=NC2=N1,1.1879
[*]c1cc2c(s1)-c1sc(-c3sc(-c4sc([*])c5c4OCCO5)c4c3OCCO4)cc1C2=O,1.2082
[*]c1sc(-c2sc(-c3sc([*])c4nccnc34)c3c2OC(CCCCCC)CO3)c2c1OCC(CCCCCC)O2,1.2188
[*]C#CC=C[*],1.2297
[*]CC([*])C(=O)n1sc2ccccc2c1=O,1.2332
[*]c1cc2c(s1)-c1sc([*])cc1C2=C1c2ccsc2-c2sccc21,1.2481
[*]c1sc([*])c2ccccc12,1.2499
[*]c1sc([*])c(CCCCCCN(CC)c2ccc(N=Nc3ccc([N+](=O)[O-])cc3)cc2)c1CCCCCC,1.2631
[*]c1cc(CCN(CC)c2ccc(N=Nc3ccc(C=C(C#N)C#N)cc3)cc2)c([*])s1,1.2692
[*]c1ccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(-n5c(=O)c6sc7c(=O)n([*])c(=O)c7sc6c5=O)cc4)cc3)cc2)cc1,1.3147
