smiles,value
*/C=C/C(C*)C,-60.0
*/C=C/c1cc(OCCC(CCCC(C)C)C)c(cc1OC)*,50.0
*/C=C/c1ccc(cc1)/C=C/[Si](c1ccc(cc1)[Si](C)(C)*)(C)C,90.2
*/C=C/c1ccc(cc1)/C=C/[Si](c1ccc(cc1)[Si](CCC(F)(F)F)(C)*)(CCC(F)(F)F)C,52.8
*/C=C/c1ccc(cc1)/C=C/[Si](c1cccc(c1)[Si](C)(C)*)(C)C,39.2
*/C=C/c1ccc(cc1)/C=C/[Si](c1cccc(c1)[Si](CCC(F)(F)F)(C)*)(CCC(F)(F)F)C,23.4
*/C=C/c1ccc(cc1)N(Cc1ccccc1CN(c1ccc(cc1)/C=C/c1ccc(s1)/C=C(/S(=O)(=O)/C(=C/c1ccc(s1)*)/C#N)\C#N)CC)CC,178.0
*/C=C/c1cccc(c1)/C=C/[Si](c1ccc(cc1)[Si](C)(C)*)(C)C,41.7
*/C=C/c1cccc(c1)/C=C/[Si](c1ccc(cc1)[Si](CCC(F)(F)F)(C)*)(CCC(F)(F)F)C,39.2
*/C=C/c1cccc(c1)/C=C/[Si](c1cccc(c1)[Si](C)(C)*)(C)C,28.7
*/C=C\C(C*)C,-39.5
*/C=C\C1CC(C2C1C=CC2)*,53.0
*/C=C\c1ccc(cc1)/C=C\[Si](c1ccc(cc1)[Si](C)(C)*)(C)C,63.0
*/C=C\c1ccc(cc1)/C=C\[Si](c1ccc(cc1)[Si](CCC(F)(F)F)(C)*)(CCC(F)(F)F)C,55.7
*/C=C\c1ccc(cc1)/C=C\[Si](c1cccc(c1)[Si](C)(C)*)(C)C,33.0
*/C=C\c1ccc(cc1)/C=C\[Si](c1cccc(c1)[Si](CCC(F)(F)F)(C)*)(CCC(F)(F)F)C,23.4
*/C=C\c1cccc(c1)/C=C\[Si](c1ccc(cc1)[Si](C)(C)*)(C)C,38.1
*/C=C\c1cccc(c1)/C=C\[Si](c1ccc(cc1)[Si](CCC(F)(F)F)(C)*)(CCC(F)(F)F)C,34.5
*/C=C\c1cccc(c1)/C=C\[Si](c1cccc(c1)[Si](CCC(F)(F)F)(C)*)(CCC(F)(F)F)C,9.5
*=CNc1ccc(cc1)CCc1ccc(cc1)N=*,125.0
*=CNc1ccc(cc1)Cc1ccc(cc1)N=*,95.5
*=Cc1ccc(cc1)C=Nc1ccc(cc1OC)c1ccc(c(c1)OC)N=*,258.0
*=Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=Nc1ccc(cc1OC)c1ccc(c(c1)OC)N=*,178.0
*=NP(=NP(=NC(=*)Cl)(Cl)Cl)(Cl)Cl,-21.0
*=NP(=NP(=NC(=*)Oc1ccc(cc1)Br)(Oc1ccc(cc1)Br)Oc1ccc(cc1)Br)(Oc1ccc(cc1)Br)Oc1ccc(cc1)Br,45.0
